itm_item;grp_dscgrp;sgr_dscsgr;itm_descri;itm_marca
0000000078;TEMPEROS E CONDIMENTOS;DIVERSOS;OREGANO FD.24X10GR.;MARIZA 
0000000611;EXPEDIENTE;DIVERSOS;LAPIS DE COR PEQUENO CX.12UND.;
0000000601;MATERIAL DE LIMPEZA;DIVERSOS;BACIA PLASTICA TAM. P ;IBAP
0000000182;DESCARTAVEIS;DIVERSOS;PALITO DENTAL FD.25X100UND.;PARANA
0000001787;HORTIFRUTI;DIVERSOS;BATATA BOLINHA;CEASA
0000000103;MATINAIS;DIVERSOS;ADOCANTE SACHET EM PO CX.12X50X08G.;MARATA
0000001636;;;MONITOR 15 6 LCD WIDE G610HDA;IBYTE
0000001740;DESCARTAVEIS;DIVERSOS;PAPEL ALUMINIO ROL.100X30CM.;TERMICA
0000000336;TEMPEROS E CONDIMENTOS;DIVERSOS;TEMPERO COMPLETO CX.12X01L.;FLAMA
0000000143;MATERIAL DE LIMPEZA;DIVERSOS;ESPONJA DUPLA FACE SUPERPRO TAM.110X75X23MM. 9401;BETTANIN
0000001434;PRODUTOS DE HIGIENE;DIVERSOS;LENCOS UMEDECIDOS POT.100UND.;BABY WIPES
0000000266;PRODUTOS DE LIMPEZA;DIVERSOS;SABAO EM PO SACHET FD.20X500G.;ECONOMICO
0000001048;MATINAIS;DIVERSOS;GELEIA CREMOSA DE FRUTAS LIGHT CX.12X230G.;RITTER
0000000539;MATERIAIS DURAVEIS;DIVERSOS;DISPENSER PAPEL HIG. INTERF. CLASSIC P/300M. 90012;DALPONT
0000000437;MATINAIS;DIVERSOS;REQUEIJAO CREMOSO CX.24X250G.;MARANGUAPE
0000001062;FRIOS;DIVERSOS;BACON DEFUMADO EM MANTA;
0000000482;PRODUTOS DE LIMPEZA;DIVERSOS;KIT REAGENTES QUIMICOS;
0000001712;;;FITA GOMADA TAM.38X50MT.;
0000000449;PRODUTOS DE LIMPEZA;DIVERSOS;POLIDOR DE METAIS CX.12X200ML.;BRASSO
0000001623;MATINAIS;DIVERSOS;SUPLEMENTO ALIM. CUBITAN CX.12X200ML.;SUPORTE
0000000061;;;DVD - R PCT.100UND.;
0000001680;;;COLA P/EVA 75G.;
0000001158;PRODUTOS DE LIMPEZA;DIVERSOS;ALCOOL EM GEL CX.12X500G.;ECONOMICO
0000001749;EXPEDIENTE;DIVERSOS;CANETA HIDROGRAFICA PCT.12UND.;
0000784566;FRIOS;DIVERSOS;PEIXE EM POSTA (PESCADA) CONG.;F. S. ROCHA
0000001058;PRODUTOS DE LIMPEZA;DIVERSOS;SABONETE LIQUIDO CX.04X05L.;RICIE SLC
0000001469;EXPEDIENTE;DIVERSOS;CADERNO DE DESENHO 48FLS.;
0000000210;TEMPEROS E CONDIMENTOS;DIVERSOS;LEITE DE COCO CX.12X500ML.;ADELCOCO
0000000936;PRODUTOS DE HIGIENE;DIVERSOS;SHAMPOO PARA CABELOS CX.12X350ML.;MONANGE
0000000179;MATINAIS;DIVERSOS;LEITE EM PO DESNATADO CX.24X300G.;ITAMBE
0000001433;MATERIAIS DURAVEIS;DIVERSOS;REGADOR PLASTICO ;
0000002042;MATERIAIS DURAVEIS;DIVERSOS;KIT/REDE/BOLA/RAQUETE PARA PING PONG;
0000002077;MATERIAIS DURAVEIS;DIVERSOS;BOTA EM COURO CANO CURTO;
0000001204;ENLATADOS;DIVERSOS;SALSICHA TIPO VIENA CX.24X180G.;ANGLO
0000001115;MATERIAIS DURAVEIS;DIVERSOS;CADEADO Nº 25;PADO
0000001084;FRIOS;DIVERSOS;POLPA DE GRAVIOLA PCT.10X100G.;POLPA PURA
0000001309;MASSAS E BISCOITOS;DIVERSOS;BATATA PALHA PCT.500G.;ENXUTINHA
0000000180;;;PASTA SUSPENSA KRAFT ;GEKA
0000000901;HORTIFRUTI;DIVERSOS;ACELGA ;CEASA
0000002103;MATERIAIS DURAVEIS;DIVERSOS;MANOPLA DE SOCO;
0000001485;PERMANENTE;DIVERSOS;MESA RETA MEDIA;RIVEL
0000001248;PRODUTOS DE HIGIENE;DIVERSOS;ESPONJA P/BANHO TAM.130X90X45MM. CX.60UND.;BETTANIN
0000001627;EXPEDIENTE;DIVERSOS;SACOS P/PASTA CATALAGO OFICIO PCT.100UND.;ACP
0000009912;CEREAIS;DIVERSOS;ARROZ BRANCO LONGO FINO T-2 FD.30X01KG.;CHIMANGO
0000001946;DOCES;DIVERSOS;COCO RALADO PCT.01KG.;EXTRACOCO
0000002045;MATINAIS;DIVERSOS;ACHOCOLATADO EM PO FD.50X200G.;CHOCOLACTEA
0000000163;TEMPEROS E CONDIMENTOS;DIVERSOS;COLORIFICO SEM SAL PCT.100G.;KIMIMO
0000001783;MASSAS E BISCOITOS;DIVERSOS;BISCOITO RECHEADO SABORES VARIADOS CX.20X360G.;ESTRELA
0000000994;MATINAIS;DIVERSOS;ACHOCOLATADO EM PO FD.25X400G.;SUPERLACTEA
0000000794;DESCARTAVEIS;DIVERSOS;GUARDANAPO DE PAPEL TAM.14X14CM. FD.20X200UND. ;FLEUR
0000000272;MATINAIS;DIVERSOS;NAN 2 CX.12X400G.;NESTLE
0000001384;MATERIAIS DURAVEIS;DIVERSOS;EXTENSAO ELETRICA;
0000000636;FRIOS;DIVERSOS;ERVILHAS FRESCAS CONGELADAS PCT.02KG.;DO JARDIM
0000001379;MATERIAIS DURAVEIS;DIVERSOS;QUADRO BRANCO TAM.2,00X1,20MT.;
0000000069;TEMPEROS E CONDIMENTOS;DIVERSOS;LEITE DE COCO CX.24X200ML.;MENINA
0000000965;CEREAIS;DIVERSOS;KIWI;CEASA
0000001665;MATINAIS;DIVERSOS;GRANOLA C/PASSAS 500GR.;SABOR DA TERRA
0000001347;;;REGUA TRANSPARENTE TAM.30CM.;WALLEU
0000000596;MATERIAIS DURAVEIS;DIVERSOS;PILHA ELETRICA MEDIA;RAYOVAC
0000001762;DOCES;DIVERSOS;SAPOTI;CEASA
0000000974;MATERIAL DE LIMPEZA;DIVERSOS;PA COLETORA PLASTICO 140;BETTANIN
0000000703;MATERIAIS DURAVEIS;DIVERSOS;REFRIGERADOR 331LT. DUPLEX.;ESMALTEC
0000000271;MATINAIS;DIVERSOS;MARGARINA VEG. CREM. 70% LIP. C/SAL CX.12X500G.;DELICIA
0000000513;FRIOS;DIVERSOS;MILHO VERDE (ESPIGA) 1ª QUALIDADE;CEASA
0000001015;MATERIAL DE LIMPEZA;DIVERSOS;SLIMP SEC BOB.20LT.;PLAX
0000001561;MATERIAIS DURAVEIS;DIVERSOS;RADIO PORT. CD/MP3/USB MOD.BD-115;LENOX
0000000490;PRODUTOS DE LIMPEZA;DIVERSOS;SABAO EM PASTA P/LIMPEZA CX.24X200G.;IGUAL
0000000832;;;PASTA LOMBO LARGO TAM.35X28X8;
0000000528;TEMPEROS E CONDIMENTOS;DIVERSOS;CALDO DE LEGUMES CX.10X57G.;KITANO
0000001859;;;PINCEL P/QUADRO BRANCO CX.12UND. ;
0000001838;MATERIAIS DURAVEIS;DIVERSOS;LAMPADA METALICA 150WT.;
0000000577;TEMPEROS E CONDIMENTOS;DIVERSOS;CURRY MOIDO FD.15X40G.;MARIZA
0000000207;PRODUTOS DE LIMPEZA;DIVERSOS;QUEROSENE CX.12X01L.;KING
0000000619;MASSAS E BISCOITOS;DIVERSOS;PAO DE FORMA PCT.500G.;W&M
0000001231;HORTIFRUTI;DIVERSOS;ACEROLA ;CEASA
0000000769;MASSAS E BISCOITOS;DIVERSOS;PAO DE LEITE APROX.20G.;W&M
0000000660;MATERIAL DE LIMPEZA;DIVERSOS;LUVA DE BORRACHA VERNIZ SILVER TAM. P;VOLK
0000002082;MATERIAIS DURAVEIS;DIVERSOS;PESCA LARVAS COM REDE DE NYLON;
0000000108;PRODUTOS DE HIGIENE;DIVERSOS;OLEO HIDRATANTE INFANTIL CX.12X100ML.;MURIEL
0000001898;;;PAPEL MILIMETRADO;
0000000177;;;CARRETEL DE CADARCO ROL.100X01CM.;
0000001236;PRODUTOS DE HIGIENE;DIVERSOS;ESCOVA DENTAL INFANTIL;DENTRAT
0000001131;;;GIZ DE CERA TAM. PEQUENO CX.12UND.;
0000001463;MATERIAIS DURAVEIS;DIVERSOS;PANDEIRO 10 ABS;QUIRINO
0000000303;MASSAS E BISCOITOS;DIVERSOS;BOLO FOFO ( BATATA DOCE ) 50G.;
0000001983;;;PASTA DE PAPELAO COM FERRAGEM;
0000001776;MATERIAIS DURAVEIS;DIVERSOS;SERVIDOR IMP USB MF DPR 1020 D LINK;
0000000173;CEREAIS;DIVERSOS;FARINHA DE AVEIA CX.28X200G.;QUAKER
0000001730;EXPEDIENTE;DIVERSOS;PORTA CANETA EM ACRILICO C/03 DIV. ;
0000000139;ENLATADOS;DIVERSOS;AMEIXA SECA CX.12X150G.;OLE
0000001144;TEMPEROS E CONDIMENTOS;DIVERSOS;ALHO EM PASTA CX.24X200G;IDEAL FOODS
0000000593;BEBIDAS;DIVERSOS;REFRIGERANTE SABORES VARIADOS FD.12X350ML.;FREVO
0000000840;MATERIAIS DURAVEIS;DIVERSOS;SUPORTE P/PAPEL HIGIENICO DE 30MT.;
0000001414;MATERIAIS DURAVEIS;DIVERSOS;CORDA RECREATIVA;
0000000747;HORTIFRUTI;DIVERSOS;BATATA INGLESA DE 1ª QUALIDADE;CEASA
0000000489;PRODUTOS DE LIMPEZA;DIVERSOS;AMACIANTE P/ROUPAS CX.12X01LT.;PASSOU LIMPOU
0000001548;MATERIAIS DURAVEIS;DIVERSOS;ESCORREDOR PARA MACARRAO;
0000001411;FRIOS;DIVERSOS;FILE DE PEIXE PESCADA BRANCA CONGELADA;F. S. ROCHA
0000000986;BEBIDAS;DIVERSOS;AGUA MINERAL S/GAS FD.12X500ML.;INDAIA
0000001594;FRIOS;DIVERSOS;SALAME TIPO ITALIANO FATIADO PCT.100G.;SADIA
0000000743;FRIOS;DIVERSOS;CARNE BOVINA (COXAO MOLE) CONG.;
0000001197;;;ESTILETE ESTREITO CX.12UND.;
0000000774;;;PASTA GRAMPO TRILHO CARTAO PLASTIFICADA;GEKA
0000001974;;;LIXA MADEIRA 120;AGUIAR
0000001145;EXPEDIENTE;DIVERSOS;FITA DUREX TAM.12X30MT.;
0000000782;MATERIAL DE LIMPEZA;DIVERSOS;SACO PLASTICO TRANSP. CAP.40L. PCT.25K.;DORIPLAST
0000000546;PRODUTOS DE HIGIENE;DIVERSOS;PAPEL HIGIENICO INTERCALADO CX.10000FLS.;GOLD
0000000006;MATINAIS;DIVERSOS;FARINHA LACTEA EM SACHET CX.12X210G.;NESTLE
0000000465;TEMPEROS E CONDIMENTOS;DIVERSOS;EXTRATO DE TOMATE CX.12X1,080G.;QUERO
0000001394;MATERIAIS DURAVEIS;DIVERSOS;DEPOSITO PLASTICO;
0000000244;TEMPEROS E CONDIMENTOS;DIVERSOS;PIMENTA DO REINO MOIDA PCT.10X100G.;SPIRRO
0000001123;EXPEDIENTE;DIVERSOS;CADERNO DE CALIGRAFIA C/48FLS.;
0000002008;MATINAIS;DIVERSOS;ALIMENTO BASE DE MULTICEREAIS SACHET MUCILON 230G ;NESTLE
0000001212;EXPEDIENTE;DIVERSOS;APONTADOR PLASTICO COMUM PCT.12UND.;
0000000735;MASSAS E BISCOITOS;DIVERSOS;BISCOITO WAFER VARIADOS CX.48X35G.;PELAGGIO
0000001120;MATINAIS;DIVERSOS;GELEIA DE FRAMBOESA CREMOSA DIET CX.12X280G.;QUEENSBERRY
0000000998;MATERIAL DE LIMPEZA;DIVERSOS;DISCO REMOVEDOR P/ENC. IND. ONDA VERDE 35CM.;BETANNIN
0000001181;TEMPEROS E CONDIMENTOS;DIVERSOS;FOLHA DE LOURO PCT.12X05G.;ISHASHI
0000001018;DESCARTAVEIS;DIVERSOS;MEXEDOR P/CAFE EM ACRILICO PCT.500UND.;USAFORM
0000001044;PRODUTOS DE HIGIENE;DIVERSOS;ALCOOL ETILICO 92,8° INPM CX.12X500ML.;STA. CRUZ
0000000355;DESCARTAVEIS;DIVERSOS;CANUDO SANFONADO GROSSO PCT.100UND.;STRAF
0000000463;FRIOS;DIVERSOS;FILE DE PEITO DE FRANGO CONG. CX.12KG.;SADIA
0000001376;MATERIAIS DURAVEIS;DIVERSOS;ANTENA P/REDE DE VOLEY;
0000001369;MATERIAIS DURAVEIS;DIVERSOS;CONCHA DE ALUMINIO;
0000001122;MATERIAIS DURAVEIS;DIVERSOS;DISPENSER P/PROTETOR DE ASSENTO SANIT.;COLUMBUS
0000000784;DESCARTAVEIS;DIVERSOS;SACO PLASTICO TRANSP. TAM.26X12X0,5 PCT.1000UND;DORIPLAST
0000001402;MATERIAIS DURAVEIS;DIVERSOS;JOGO DE PANELAS PEQUENA;
0000001323;;;LIVRO DE MATRICULA C/100FLS.;
0000001477;MATERIAIS DURAVEIS;DIVERSOS;FRAGMENTADORA FR 7061 220V.;ELGIN
0000000515;FRIOS;DIVERSOS;ISCA DE FRANGO CONG. PCT.01KG.;
0000000321;PRODUTOS DE HIGIENE;DIVERSOS;ESCOVA DENTAL ADULTO;DENTICS
0000001068;MATERIAL DE LIMPEZA;DIVERSOS;RODO DE ALUMINIO BORRACHA DUPLA 50CM;BRALIMPIA
0000001746;FRIOS;DIVERSOS;KANI KAMA PCT.200G.;COSTA SUL
0000000761;FRIOS;DIVERSOS;POLPA DE ACEROLA PCT.10X100G.;POLPA PURA
0000001949;TEMPEROS E CONDIMENTOS;DIVERSOS;GERGELIM DESCASCADOS 01KG.;SESAMO REAL
0000001146;;;LUPA 90MM.;GLASS
0000001583;MATERIAIS DURAVEIS;DIVERSOS;CANTONEIRA PLASTICA;
0000001794;HORTIFRUTI;DIVERSOS;ALFACE CRESPA;CEASA
0000001420;CEREAIS;DIVERSOS;MISTURA P/MINGAU 3 CEREAIS CX.10X01KG.;FORMA FACIL
0000001136;;;LINHA DE NYLON Nº 20 ROL.100MT.;
0000000472;;;ENVELOPE AMARELO TAM.18X28CM.;
0000000728;PRODUTOS DE LIMPEZA;DIVERSOS;SELADOR ACRILICO P/PISO BOB.05L.;POLWAX
0000000199;TEMPEROS E CONDIMENTOS;DIVERSOS;OLEO DE MILHO CX.20X900ML.;SALADA
0000002102;MATINAIS;DIVERSOS;ALIMENTO BASE DE TRIGO E AVEIA MUCILON CX.18X400G.;NESTLE
0000001133;PRODUTOS DE HIGIENE;DIVERSOS;FRALDAS DESC. GERIATRICA TAM.XG PCT.06UND.;DIA E NOITE
0000001086;TEMPEROS E CONDIMENTOS;DIVERSOS;TEMPERO P/PEIXES HONDASHI PCT.60G.;AJINOMOTO
0000001017;PRODUTOS DE LIMPEZA;DIVERSOS;SAPOLIO EM PO CX.24X300ML.;
0000000414;TEMPEROS E CONDIMENTOS;DIVERSOS;TEMPERO P/AVES CX.06X01K.;MAGGI
0000001905;;;FITILHO ;
0000001582;;;FORMULARIO CONTINUO 1 VIA 240X280 CX.3.000FLS.;MICROFORM
0000001564;;;COMPASSO;
0000001823;FRIOS;DIVERSOS;CHESTER TEMPERADO CONG.;PERDIGAO
0000000502;PRODUTOS DE HIGIENE;DIVERSOS;FRALDAS DESC. INFANTIL TAM.P PCT.09UND.;DRY
0000001049;TEMPEROS E CONDIMENTOS;DIVERSOS;PIMENTA DO REINO MOIDA BCA. PCT.12X40G.;ISHASHI
0000000259;DESCARTAVEIS;DIVERSOS;COPO DESCARTAVEL PCT.50X500ML.;COPOBRAS
0000000267;TEMPEROS E CONDIMENTOS;DIVERSOS;CATCHUP NAO PICANTE CX.24X400G.;
0000001127;MATERIAL DE LIMPEZA;DIVERSOS;VASSOURA GARY NYLON 40CM C/CABO REVEST.;FORTLEVES 
0000000985;DESCARTAVEIS;DIVERSOS;DEDEIRA DE BORRACHA PCT.100UND.;MUCAMBO
0000001567;;;RECARGA PARA CARTUCHO LIQUIDA;
0000002010;MATERIAIS DURAVEIS;DIVERSOS;IMPRESSORA JATO DE TINTA HP D1660;HP
0000000377;BEBIDAS;DIVERSOS;SUCO CONCENTRADO DE MANGA CX.12X500ML.;CANA
0000000990;CEREAIS;DIVERSOS;ARROZ PARBOILIZADO LONGO FINO T-1 FD.30X01KG;ARA
0000002052;MATERIAIS DURAVEIS;DIVERSOS;JOELHEIRA;KANXASPORTS
0000000727;PRODUTOS DE LIMPEZA;DIVERSOS;RESINA ACRILICA IMP. PARA PISO BOB.05L.;SPARK
0000001758;FRIOS;DIVERSOS;RADICHIO;CEASA
0000000115;TEMPEROS E CONDIMENTOS;DIVERSOS;CATCHUP NAO PICANTE SACHET CX.06X01KG.;ODERICH
0000001456;;;FORMULARIO CONTINUO 03 VIAS 80 COL. CX.600JGS.;CURIFORM
0000002100;PERMANENTE;DIVERSOS;CARTEIRA ESCOLAR EM MADEIRA MACICA;PORFIRIO
0000001978;;;BORRACHA PARA PANELA DE PRESSAO;
0000000455;FRIOS;DIVERSOS;LINGUICA DE FRANGO CX.04X05KG.;SEARA
0000002065;MATERIAIS DURAVEIS;DIVERSOS;CAPELA DE EXAUSTAO MEDIA;GANATEC
0000000382;MATERIAIS DURAVEIS;DIVERSOS;PILHA ALCALINA GRANDE;PANASONIC
0000001957;BEBIDAS;DIVERSOS;SUCO DE FRUTAS CITRICAS CX.27X200ML.;TAMPICO
0000000932;PRODUTOS DE LIMPEZA;DIVERSOS;HIPOCLORITO DE SODIO GAL.05L.;TALIMPO
0000000928;MATERIAIS DURAVEIS;DIVERSOS;REFRIGERADOR COR BCO. 340LT.;DAKO
0000000755;HORTIFRUTI;DIVERSOS;BANANA PRATA 1ª QUALIDADE;CEASA
0000002113;TEMPEROS E CONDIMENTOS;DIVERSOS;CORANTE P/BOLO CORES VARIADAS;
0000000809;PERMANENTE;DIVERSOS;ARMARIO ARQUIVO EM ACO C/04 GAVETAS;RR METAIS
0000001233;FRIOS;DIVERSOS;COSTELA SUINA;
0000001954;MATERIAIS DURAVEIS;DIVERSOS;COLHER INOX INFANTIL;
0000001775;FRIOS;DIVERSOS;INHAME;CEASA
0000001074;PRODUTOS DE LIMPEZA;DIVERSOS;DETERGENTE CLORADO BD.04KG.;AGE
0000000886;DESCARTAVEIS;DIVERSOS;PAPEL HIGIENICO BRANCO FD.64X30MT.;DUALET
0000001834;FRIOS;DIVERSOS;CARNE BOVINA (L. PAULISTA/LAGARTO) CONG.;
0000000162;TEMPEROS E CONDIMENTOS;DIVERSOS;OLEO DE CANOLA CX.20X900ML.;SALADA
0000000152;MATERIAL DE LIMPEZA;DIVERSOS;RODO VAI E VEM 1282 TAM.40CM.;BETTANIN
0000000488;MATERIAL DE LIMPEZA;DIVERSOS;VASSOURA NOVICA REF. 1671;BETTANIN
0000001985;;;ELASTICO;
0000001501;MATERIAIS DURAVEIS;DIVERSOS;PORTA CD REDONDA SIMPLES ;
0000000393;MATERIAL DE LIMPEZA;DIVERSOS;DISCO REMOVEDOR P/ENC. IND. PRETO 30CM.;BETANNIN
0000001168;MATINAIS;DIVERSOS;PEPTAMEN PREBIO EMB.1000ML.;NESTLE
0000001936;;;PAPEL ONDULADO;
0000001054;PRODUTOS DE LIMPEZA;DIVERSOS;DETERGENTE LIQUIDO NEUTRO CX.04X05LT.;TALIMPO
0000000234;MATERIAL DE LIMPEZA;DIVERSOS;PANO P/CHAO TIPO SACO CRU TAM. APROX.80X50CM.;POPO
0000000526;TEMPEROS E CONDIMENTOS;DIVERSOS;CALDO DE BACON CX10X63GR.;MAGGI
0000001218;PRODUTOS DE HIGIENE;DIVERSOS;REFIL PARA ABSORVENTE PAC.25UND;COLUMBUS 
0000000856;PRODUTOS DE LIMPEZA;DIVERSOS;LUSTRA MOVEIS CX.24X100ML.;PEROBA DO CAMPO
0000001009;DESCARTAVEIS;DIVERSOS;LUVA LATEX P/PROCEDIMENTO CX.100UND.;SUPERMAX
0000000995;PRODUTOS DE HIGIENE;DIVERSOS;SABONETE LIQUIDO GLICERINADO CX.04X05LT.;ALYNE
0000000536;MATERIAL DE LIMPEZA;DIVERSOS;ESCOVA P/LIMPEZA DE GARRAFAS;FORTLEVES
0000001265;DESCARTAVEIS;DIVERSOS;TAMPA DESCARTAVEL PCT.50X500ML.;COPOBRAS
0000001330;;;PAPEL DUPLA FACE CORES VARIADAS;
0000001021;DESCARTAVEIS;DIVERSOS;PAPEL TOALHA BRANCO CX.2.000FLS.;PERFIL
0000001781;FRIOS;DIVERSOS;RAPADURINHA;CEASA
0000000651;TEMPEROS E CONDIMENTOS;DIVERSOS;ACAFRAO MOIDO FD.15X40G.;MARIZA
0000001435;MATERIAIS DURAVEIS;DIVERSOS;KIT PARA BANHEIRO C/03 PECAS;
0000000950;MATINAIS;DIVERSOS;CEREAL MATINAL CX.32X300G.;KELLOG'S
0000001235;PRODUTOS DE LIMPEZA;DIVERSOS;DESINFETANTE LIQ. CX.06X02LT.;KALIPTO
0000001061;EXPEDIENTE;DIVERSOS;CAIXA ARQ. MORTO PLASTICO TAM.37X25X13CM. ;CARTEX
0000000921;PERMANENTE;DIVERSOS;MESA RETA COM 2 GAVETAS EM MADEIRA 1,20M;RIVEL
0000001724;;;PASTA COM ALCA/ZIPER CRISTAL TAM.34X26X04CM.;YES
0000000126;MATERIAL DE LIMPEZA;DIVERSOS;LUVA LATEX FORRADA ANTIDERRAPANTE TAM. M;VOLK
0000000358;DESCARTAVEIS;DIVERSOS;PAPEL TOALHA INT.TAM.23X20CM. CX.6000FLS.;GOLD PREMIUM
0000001000;HORTIFRUTI;DIVERSOS;ALFACE LISA 1ª QUALIDADE;CEASA
0000000088;MATINAIS;DIVERSOS;NAN AR CX.12X400G.;NESTLE
0000001321;;;JOGOS EDUCATIVOS SIMPLES;
0000000836;MASSAS E BISCOITOS;DIVERSOS;MACARRAO PARAFUSO COM OVOS FD.20X500G.;BRANDINI
0000000772;FRIOS;DIVERSOS;QUEIJO PRATO;LAGEL
0000001028;TEMPEROS E CONDIMENTOS;DIVERSOS;CREME DE CEBOLA CX.10X01KG.;KITANO
0000000077;TEMPEROS E CONDIMENTOS;DIVERSOS;MOLHO INGLES CX.12X500ML.;GALLETO
0000001707;MATERIAIS DURAVEIS;DIVERSOS;GLOBO POLITICO TERRESTRE 30CM.;DCCL
0000000403;PRODUTOS DE LIMPEZA;DIVERSOS;DETERGENTE S-AZ MAX CX.04X05L.;SANDET
0000001820;MATERIAIS DURAVEIS;DIVERSOS;ENXADA 3,00 LB (OLHO GROSSO);TRAMONTINA
0000010181;CEREAIS;DIVERSOS;XXX;
0000000858;BEBIDAS;DIVERSOS;REFRESCO EM PO SAB. VARIADO CX.10X01KG.;QUALIMAX
0000000410;TEMPEROS E CONDIMENTOS;DIVERSOS;COMINHO EM PO FD.12X40G.;ISHASHI
0000000560;TEMPEROS E CONDIMENTOS;DIVERSOS;POLPA DE TOMATE CX.12X1,05KG.;PALMEIRON
0000001841;MASSAS E BISCOITOS;DIVERSOS;BOLINHO PINGO SABORES VARIADOS PCT.06UND.;W&M
0000002026;;;FORMULARIO DE RECIBO DE FERIAS;
0000000020;EXPEDIENTE;DIVERSOS;CORRETIVO LIQUIDO CX.12X18ML.;
0000000260;TEMPEROS E CONDIMENTOS;DIVERSOS;QUEIJO PARMESSAO RALADO CX.10X100G.;ITALAC
0000001806;MATERIAIS DURAVEIS;DIVERSOS;FIO TAM.02X1,5MM. PCT.100MT.;
0000001415;MATERIAIS DURAVEIS;DIVERSOS;CAMERA FOTOGRAFICA DIGITAL 8.0 M. P.;GOLDENTEC
0000002088;PERMANENTE;DIVERSOS;CAIBRO DE MADEIRA;
0000001001;FRIOS;DIVERSOS;ESPINAFRE ;CEASA
0000001079;DOCES;DIVERSOS;DOCE DE LEITE CREMOSO 04KG.;
0000000005;MATINAIS;DIVERSOS;ADOCANTE LIQUIDO CX.12X200ML.;ZERO CAL
0000001187;DOCES;DIVERSOS;QUEIJADINHA POT.40UND.;DOCE SABOR
0000000581;PRODUTOS DE HIGIENE;DIVERSOS;PAPEL HIGIENICO BRANCO FD.08X300M.;BIG ESTYLO
0000000323;FRIOS;DIVERSOS;MELAO NACIONAL;CEASA
0000000434;MATERIAL DE LIMPEZA;DIVERSOS;SACO PLASTICO BCO. P/LIXO PCT.100X100L.;RAVA
0000000606;DESCARTAVEIS;DIVERSOS;FOSFOROS MÇ.10CXA.;
0000001910;MASSAS E BISCOITOS;DIVERSOS;BISCOITO SALGADO RECHEADO CX.42X04X28G.;CLUB SOCIAL 
0000000009;ENLATADOS;DIVERSOS;AZEITONA VERDE EM CONSERVA BAL.02KG.;HEMMER
0000001263;MASSAS E BISCOITOS;DIVERSOS;MACARRAO ARGOLA FD.12X500G.;BRANDINI
0000000954;FRIOS;DIVERSOS;PAO DE QUEIJO CONG. PCT.01KG.;ARO
0000001699;MATERIAIS DURAVEIS;DIVERSOS;TORNEIRA;
0000000237;DESCARTAVEIS;DIVERSOS;TAMPA DESCARTAVEL PCT.100X100ML.;BELPLAST
0000001211;DESCARTAVEIS;DIVERSOS;AVENTAL EM KORINO TAM.1,40X0,80CM.;LUSTRA MIL
0000000724;MATERIAIS DURAVEIS;DIVERSOS;CARREGADOR PARA PILHAS;
0000000659;EXPEDIENTE;DIVERSOS;APAGADOR COMUM EM MADEIRA;
0000001610;MATERIAIS DURAVEIS;DIVERSOS;APARELHO PARA FAX;
0000000732;CEREAIS;DIVERSOS;MISTURA P/CURAU DE MILHO CX.10X01KG.;FORMA FACIL
0000000462;MATINAIS;DIVERSOS;SOYMILKE NATURAL CX.12X300G.;OLVEBRA
0000001475;MATERIAIS DURAVEIS;DIVERSOS;BOLINHAS DE GUDE PCT.250UND.;
0000000306;MATERIAL DE LIMPEZA;DIVERSOS;SACO PLASTICO BCO. P/LIXO PCT.100X40L.;RAVA
0000001205;DESCARTAVEIS;DIVERSOS;LENCOL DE PAPEL DESC. HOSPITALAR ROL.50X50CM.;SAUDE
0000000942;PRODUTOS DE LIMPEZA;DIVERSOS;SODA CAUSTICA CX.24X350G.;COMBATE
0000001132;MATERIAL DE LIMPEZA;DIVERSOS;PAPEL TOALHA INTERFOLHA 100% CX.2000FLS. 8114;GOLD PREMIUM
0000000899;HORTIFRUTI;DIVERSOS;ABACAXI PEROLA MEDIO 1ª QUALIDADE;CEASA
0000001733;;;MULTIFUNCIONAL LASER M1120;HP
0000000432;MATINAIS;DIVERSOS;MARGARINA VEG. 60% LIP. C/SAL CX.12X500G.;DELICATA
0000002001;HORTIFRUTI;DIVERSOS;NOZES SEM CASCA;
0000001498;;;KIT DE LIMPEZA PARA LCD 20ML.;GOLDENTE
0000000467;MATERIAL DE LIMPEZA;DIVERSOS;DISCO POLIDOR P/ENC. IND. AMARELO 35CM.;BETTANIN
0000000395;EXPEDIENTE;DIVERSOS;CAIXA ARQ. MORTO PAPELAO MED.34X24X13CM ;
0000001556;BEBIDAS;DIVERSOS;SIDRA CX.12X660ML.;CERESER
0000001107;MATERIAL DE LIMPEZA;DIVERSOS;PANO P/LIMPEZA SEK PCT.05UND.;BETANNIN
0000000222;MATERIAL DE LIMPEZA;DIVERSOS;VASSOURA DE PELO 50CM. C/CABO REVESTIDO;FORTLEVES
0000000236;MATERIAIS DURAVEIS;DIVERSOS;GUIA DE SECAGEM REMOVIVEL EM PLASTICO 35CM.;BRALIMPIA
0000001825;MATERIAIS DURAVEIS;DIVERSOS;CAMARA DE AR TAM.3,25X8;LEVORIM
0000000328;MATINAIS;DIVERSOS;MEL DE ABELHA PURO EM SACHET CX.144X15G.;BOM SABOR
0000001240;MATERIAIS DURAVEIS;DIVERSOS;TIJOLO;
0000001073;BEBIDAS;DIVERSOS;VINHO TINTO CX.12X750ML.;COUNTRY WINE
0000000070;DESCARTAVEIS;DIVERSOS;SACO PLASTICO TRANSP. A.D. TAM.40X60CM. C/100UND.;DORIPLAST
